date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,qty,amount,ship_state,b2b,fulfilled_by
2022-04-30,cancelled,merchant,amazon.in,standard,set389,set389_kr_np_s,set,s,0,647.62,maharashtra,False,easy_ship
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3781,jne3781_kr_xxxl,kurta,3xl,1,406.0,karnataka,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne3371,jne3371_kr_xl,kurta,xl,1,329.0,maharashtra,True,
2022-04-30,cancelled,merchant,amazon.in,standard,j0341,j0341_dr_l,western_dress,l,0,753.33,tamil_nadu,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne3671,jne3671_tu_xxxl,top,3xl,1,574.0,tamil_nadu,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set264,set264_kr_np_xl,set,xl,1,824.0,uttar_pradesh,False,
2022-04-30,shipped,amazon,amazon.in,expedited,j0095,j0095_set_l,set,l,1,653.0,punjab,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3405,jne3405_kr_s,kurta,s,1,399.0,telangana,False,easy_ship
2022-04-30,cancelled,amazon,amazon.in,expedited,set200,set200_kr_np_a_xxxl,set,3xl,0,,telangana,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3461,jne3461_kr_xxl,kurta,xxl,1,363.0,tamil_nadu,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3160,jne3160_kr_g_s,kurta,s,1,685.0,tamil_nadu,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3500,jne3500_kr_xs,kurta,xs,1,364.0,uttar_pradesh,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3405,jne3405_kr_xs,kurta,xs,1,399.0,maharashtra,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,set182,set182_kr_dh_xs,set,xs,1,657.0,maharashtra,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,j0351,j0351_set_l,set,l,1,771.0,maharashtra,False,easy_ship
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,pjne3368,pjne3368_kr_6xl,kurta,6xl,1,544.0,andhra_pradesh,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne3721,jne3721_kr_xxl,kurta,xxl,1,329.0,rajasthan,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3405,jne3405_kr_xl,kurta,xl,1,399.0,delhi,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3697,jne3697_kr_xxl,kurta,xxl,1,458.0,haryana,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,set254,set254_kr_np_xs,set,xs,1,886.0,karnataka,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3795,jne3795_kr_xxxl,kurta,3xl,1,517.0,tamil_nadu,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set345,set345_kr_np_m,set,m,1,666.0,karnataka,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3373,jne3373_kr_l,kurta,l,1,376.0,telangana,False,
2022-04-30,cancelled,merchant,amazon.in,standard,set291,set291_kr_pp_m,set,m,0,570.48,maharashtra,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,men5002,men5002_kr_l,kurta,l,1,499.0,assam,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,nw030,nw030_tp_pj_xs,set,xs,1,582.0,jharkhand,False,easy_ship
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3415,jne3415_kr_xxxl,kurta,3xl,1,299.0,chhattisgarh,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,pjne2199,pjne2199_kr_n_4xl,kurta,4xl,1,459.0,maharashtra,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3567,jne3567_kr_m,kurta,m,1,399.0,karnataka,False,
2022-04-30,cancelled,merchant,amazon.in,standard,jne2132,jne2132_kr_398_xxxl,kurta,3xl,0,,assam,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,j0341,j0341_dr_s,western_dress,s,1,791.0,tamil_nadu,False,
2022-04-30,shipped,amazon,amazon.in,expedited,men5009,men5009_kr_xl,kurta,xl,1,499.0,uttar_pradesh,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,j0011,j0011_lcd_m,set,m,1,1233.0,andhra_pradesh,False,easy_ship
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3766,jne3766_kr_m,kurta,m,1,517.0,odisha,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne3373,jne3373_kr_xl,kurta,xl,1,376.0,telangana,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,men5001,men5001_kr_xl,kurta,xl,1,499.0,uttar_pradesh,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,set345,set345_kr_np_l,set,l,1,666.0,tamil_nadu,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3787,jne3787_kr_s,kurta,s,1,487.0,delhi,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3543,jne3543_kr_s,kurta,s,1,368.0,delhi,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3405,jne3405_kr_l,kurta,l,1,399.0,kerala,False,
2022-04-30,shipped,amazon,amazon.in,expedited,j0211,j0211_dr_xxl,ethnic_dress,xxl,1,699.0,uttar_pradesh,False,
2022-04-30,shipped,amazon,amazon.in,expedited,j0401,j0401_dr_xxxl,western_dress,3xl,1,885.0,madhya_pradesh,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne2153,jne2153_kr_278_a_m,kurta,m,1,424.0,maharashtra,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,set360,set360_kr_np_m,set,m,1,1126.0,uttar_pradesh,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set268,set268_kr_np_l,set,l,1,788.0,maharashtra,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set183,set183_kr_dh_s,set,s,1,759.0,west_bengal,False,
2022-04-30,shipped,amazon,amazon.in,expedited,j0230,j0230_skd_l,set,l,1,1146.0,andhra_pradesh,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3744,jne3744_tu_s,top,s,1,665.0,telangana,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3510,jne3510_kr_s,kurta,s,1,429.0,telangana,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3405,jne3405_kr_m,kurta,m,1,399.0,uttar_pradesh,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,j0186,j0186_set_s,set,s,1,848.0,odisha,False,
2022-04-30,shipped,amazon,amazon.in,expedited,j0003,j0003_set_m,set,m,1,654.0,maharashtra,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set282,set282_kr_pp_m,set,m,1,1033.0,nagaland,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne1407,jne1407_black_kr_udf18_xl,kurta,xl,1,390.0,karnataka,False,
2022-04-30,shipped,amazon,amazon.in,expedited,j0301,j0301_tp_l,top,l,1,493.0,karnataka,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3869,jne3869_dr_s,western_dress,s,1,721.0,telangana,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set324,set324_kr_np_xs,set,xs,1,597.0,rajasthan,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3405,jne3405_kr_l,kurta,l,1,399.0,assam,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set279,set279_lc_s,set,s,1,888.0,karnataka,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne2014,jne2014_kr_178_xxl,kurta,xxl,1,353.0,telangana,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,nw005,nw005_st_pj_xl,set,xl,1,599.0,karnataka,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne2270,jne2270_kr_487_a_m,kurta,m,1,518.0,maharashtra,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3579,jne3579_kr_m,kurta,m,1,295.0,maharashtra,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set347,set347_kr_np_xs,set,xs,1,852.0,uttar_pradesh,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set264,set264_kr_np_m,set,m,1,824.0,maharashtra,False,
2022-04-30,cancelled,amazon,amazon.in,expedited,jne3373,jne3373_kr_xxl,kurta,xxl,0,,gujarat,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set333,set333_kr_dpt_xxl,set,xxl,1,909.0,jharkhand,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3645,jne3645_tp_n_l,top,l,1,432.0,maharashtra,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set233,set233_kr_pp_l,set,l,1,545.0,karnataka,False,
2022-04-30,shipped,amazon,amazon.in,expedited,j0381,j0381_skd_xxxl,set,3xl,1,1146.0,karnataka,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3068,jne3068_kr_a_xl,kurta,xl,1,696.0,tamil_nadu,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne3718,jne3718_kr_m,kurta,m,1,432.0,maharashtra,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,set386,set386_kr_np_s,set,s,1,631.0,karnataka,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne3745,jne3745_kr_xxl,kurta,xxl,1,316.0,karnataka,False,
2022-04-30,shipped_delivered_to_buyer,merchant,amazon.in,standard,jne3467,jne3467_kr_xl,kurta,xl,1,362.0,odisha,False,easy_ship
2022-04-30,shipped,amazon,amazon.in,expedited,jne3721,jne3721_kr_l,kurta,l,1,329.0,telangana,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3405,jne3405_kr_xxl,kurta,xxl,1,399.0,maharashtra,False,
2022-04-30,shipped,amazon,amazon.in,expedited,set295,set295_kr_np_xxxl,set,3xl,1,751.0,assam,False,
2022-04-30,shipped,amazon,amazon.in,expedited,jne3861,jne3861_dr_xl,western_dress,xl,1,791.0,gujarat,False,
