category,size,total_revenue,total_orders,pct_of_total_revenue
set,m,7138117.52,9113,9.27
set,l,6236139.5,8022,8.09
set,xl,5804911.29,7400,7.54
set,s,5714410.91,7321,7.42
set,xxl,4710966.76,6088,6.12
set,3xl,4476110.16,5714,5.81
set,xs,4197227.36,5395,5.45
kurta,l,3652977.07,8715,4.74
kurta,xl,3560351.47,8478,4.62
kurta,m,3478771.3,8387,4.52
kurta,xxl,3173170.75,7525,4.12
kurta,3xl,2416520.43,5584,3.14
kurta,s,2315484.64,5635,3.01
western_dress,l,1940341.02,2723,2.52
western_dress,m,1805075.38,2481,2.34
western_dress,xl,1677544.17,2306,2.18
western_dress,s,1546297.31,2140,2.01
western_dress,xxl,1533766.98,2066,1.99
western_dress,3xl,1365954.53,1858,1.77
kurta,xs,1222667.1,3084,1.59
western_dress,xs,976340.47,1397,1.27
top,m,927439.27,1793,1.2
top,xl,918466.84,1824,1.19
top,l,883585.85,1737,1.15
top,xxl,873992.18,1776,1.13
top,3xl,613415.81,1172,0.8
top,s,609901.62,1223,0.79
kurta,6xl,475578.59,640,0.62
top,xs,442878.33,936,0.57
kurta,5xl,352645.63,481,0.46
kurta,4xl,271755.59,372,0.35
ethnic_dress,xl,134852.29,193,0.18
ethnic_dress,m,131417.14,180,0.17
ethnic_dress,l,125682.87,190,0.16
saree,free,123933.76,164,0.16
ethnic_dress,s,123855.22,175,0.16
ethnic_dress,3xl,119851.47,171,0.16
ethnic_dress,xxl,98280.38,156,0.13
set,6xl,88121.07,77,0.11
blouse,m,79846.24,153,0.1
blouse,free,79130.01,207,0.1
blouse,s,73932.11,138,0.1
blouse,xl,72179.1,131,0.09
blouse,l,71342.81,136,0.09
set,5xl,67689.0,61,0.09
blouse,xxl,66360.57,121,0.09
set,4xl,54514.24,46,0.07
ethnic_dress,xs,53398.0,88,0.07
bottom,xl,25879.63,71,0.03
bottom,l,25031.21,71,0.03
bottom,3xl,24332.63,64,0.03
bottom,xxl,23753.44,71,0.03
bottom,s,22598.76,74,0.03
bottom,m,19580.59,58,0.03
blouse,xs,9865.1,28,0.01
bottom,xs,9491.72,28,0.01
dupatta,free,915.0,3,0.0
