"ship_state","sku","total_units_sold","total_revenue","total_orders","avg_order_value"
"MAHARASHTRA","J0230-SKD-M","80","92778.00","80","1159.73"
"KARNATAKA","JNE3797-KR-L","106","78993.00","106","745.22"
"MAHARASHTRA","J0230-SKD-S","66","73879.00","65","1136.60"
"MAHARASHTRA","JNE3797-KR-L","94","69746.00","94","741.98"
"KERALA","JNE3797-KR-M","89","66262.00","89","744.52"
"KARNATAKA","J0230-SKD-M","56","64041.00","56","1143.59"
"UTTAR PRADESH","J0230-SKD-M","54","61613.00","54","1140.98"
"MAHARASHTRA","SET268-KR-NP-S","79","61172.00","79","774.33"
"KERALA","JNE3797-KR-S","79","59116.00","79","748.30"
"UTTAR PRADESH","J0230-SKD-S","51","58722.00","51","1151.41"
"MAHARASHTRA","SET268-KR-NP-XL","74","56962.00","74","769.76"
"KERALA","JNE3797-KR-L","76","56630.00","76","745.13"
"KARNATAKA","J0230-SKD-S","49","56473.00","49","1152.51"
"MAHARASHTRA","JNE3797-KR-S","74","55433.00","74","749.09"
"MAHARASHTRA","JNE3797-KR-XXXL","73","54502.00","73","746.60"
"KARNATAKA","JNE3797-KR-S","71","53548.00","71","754.20"
"MAHARASHTRA","JNE3797-KR-XL","70","52458.00","70","749.40"
"KARNATAKA","SET268-KR-NP-XL","67","51896.00","67","774.57"
"KARNATAKA","JNE3797-KR-M","69","51542.00","69","746.99"
"MAHARASHTRA","J0230-SKD-L","44","51353.00","44","1167.11"
"MAHARASHTRA","SET268-KR-NP-L","66","50388.00","66","763.45"
"KARNATAKA","JNE3797-KR-XL","67","50290.00","67","750.60"
"MAHARASHTRA","JNE3797-KR-XS","63","47232.00","62","761.81"
"MAHARASHTRA","J0230-SKD-XS","41","45756.00","41","1116.00"
"MAHARASHTRA","JNE3797-KR-M","60","44973.00","60","749.55"
"KERALA","JNE3797-KR-XL","56","42087.00","55","765.22"
"MAHARASHTRA","JNE3797-KR-XXL","56","41374.00","56","738.82"
"UTTAR PRADESH","J0230-SKD-L","35","41224.00","35","1177.83"
"TAMIL NADU","JNE3797-KR-M","54","39989.00","53","754.51"
"KERALA","JNE3797-KR-XS","53","39551.00","53","746.25"
"DELHI","J0230-SKD-S","34","38527.00","34","1133.15"
"TELANGANA","JNE3797-KR-L","52","38473.00","52","739.87"
"TAMIL NADU","JNE3797-KR-S","51","38181.00","50","763.62"
"KARNATAKA","SET268-KR-NP-L","49","37802.00","49","771.47"
"KARNATAKA","J0230-SKD-L","32","37479.00","32","1171.22"
"KARNATAKA","JNE3797-KR-XXXL","49","36452.00","49","743.92"
"KARNATAKA","JNE3797-KR-XXL","49","36427.00","49","743.41"
"MAHARASHTRA","J0230-SKD-XL","30","36088.00","30","1202.93"
"MAHARASHTRA","J0341-DR-XXL","41","35997.00","39","923.00"
"TAMIL NADU","JNE3797-KR-L","48","35795.00","48","745.73"
"TELANGANA","JNE3797-KR-XXXL","48","35686.00","48","743.46"
"TELANGANA","JNE3797-KR-XL","47","35502.00","46","771.78"
"DELHI","J0230-SKD-M","32","35401.00","32","1106.28"
"TELANGANA","J0230-SKD-M","31","35263.00","31","1137.52"
"MAHARASHTRA","SET268-KR-NP-XXL","45","35100.00","45","780.00"
"TELANGANA","J0341-DR-S","42","34598.00","42","823.76"
"KARNATAKA","SET345-KR-NP-M","54","34292.00","54","635.04"
"KARNATAKA","J0230-SKD-XL","29","34126.00","29","1176.76"
"MAHARASHTRA","SET278-KR-NP-M","23","33835.00","23","1471.09"
"UTTAR PRADESH","JNE3797-KR-M","45","33657.00","43","782.72"
"MAHARASHTRA","SET397-KR-NP  -M","31","33589.00","31","1083.52"
"KARNATAKA","JNE3797-KR-XS","45","33423.00","45","742.73"
"KERALA","JNE3797-KR-XXL","45","33320.00","45","740.44"
"TELANGANA","J0341-DR-L","40","32492.00","40","812.30"
"MAHARASHTRA","J0341-DR-XXXL","38","32368.00","38","851.79"
"KARNATAKA","J0341-DR-L","40","32254.00","40","806.35"
"MAHARASHTRA","J0008-SKD-M","29","31567.00","29","1088.52"
"KARNATAKA","J0341-DR-M","38","31524.00","38","829.58"
"MAHARASHTRA","JNE3405-KR-S","76","31374.00","75","418.32"
"TELANGANA","JNE3797-KR-M","42","31215.00","42","743.21"
"MAHARASHTRA","J0003-SET-XXXL","46","30670.00","45","681.56"
"MAHARASHTRA","J0341-DR-XL","38","30629.00","38","806.03"
"UTTAR PRADESH","SET183-KR-DH-M","40","30331.00","40","758.28"
"MAHARASHTRA","J0341-DR-L","36","30231.00","36","839.75"
"HARYANA","J0230-SKD-S","26","29861.00","26","1148.50"
"MAHARASHTRA","J0008-SKD-L","27","29835.00","27","1105.00"
"MAHARASHTRA","SET183-KR-DH-M","39","29514.00","39","756.77"
"KARNATAKA","SET268-KR-NP-S","38","29494.00","38","776.16"
"TELANGANA","JNE3797-KR-S","39","29237.00","39","749.67"
"MAHARASHTRA","J0339-DR-XL","35","28773.00","35","822.09"
"KARNATAKA","J0335-DR-L","30","28667.00","30","955.57"
"KARNATAKA","J0341-DR-S","35","28654.00","35","818.69"
"UTTAR PRADESH","JNE3797-KR-L","38","28256.00","38","743.58"
"TELANGANA","J0230-SKD-S","24","27850.00","24","1160.42"
"KARNATAKA","J0008-SKD-M","25","27453.00","25","1098.12"
"MAHARASHTRA","J0003-SET-S","41","27398.00","41","668.24"
"MAHARASHTRA","SET324-KR-NP-M","45","27303.00","45","606.73"
"KARNATAKA","J0341-DR-XXL","31","27214.00","31","877.87"
"KARNATAKA","J0230-SKD-XS","24","27197.00","24","1133.21"
"MAHARASHTRA","JNE3405-KR-L","66","26942.00","66","408.21"
"TAMIL NADU","J0341-DR-M","32","26917.00","32","841.16"
"MAHARASHTRA","J0341-DR-M","33","26863.00","33","814.03"
"KARNATAKA","J0339-DR-XL","32","26789.00","32","837.16"
"MAHARASHTRA","J0003-SET-XS","40","26709.00","40","667.73"
"KARNATAKA","SET278-KR-NP-M","18","26615.00","18","1478.61"
"MAHARASHTRA","SET197-KR-NP-L","35","26391.00","35","754.03"
"UTTAR PRADESH","JNE3797-KR-S","35","26358.00","35","753.09"
"KARNATAKA","SET345-KR-NP-L","40","25790.00","40","644.75"
"UTTAR PRADESH","J0230-SKD-XL","22","25779.00","22","1171.77"
"MAHARASHTRA","J0339-DR-M","29","25515.00","29","879.83"
"UTTAR PRADESH","J0230-SKD-XS","22","25394.00","22","1154.27"
"UTTAR PRADESH","J0003-SET-S","38","25339.00","38","666.82"
"TAMIL NADU","JNE3797-KR-XXL","34","25157.00","34","739.91"
"TAMIL NADU","J0341-DR-S","29","24928.00","29","859.59"
"HARYANA","J0230-SKD-M","21","24826.00","20","1241.30"
"MAHARASHTRA","JNE3405-KR-M","60","24768.00","60","412.80"
"KARNATAKA","SET324-KR-NP-M","40","24616.00","40","615.40"
"TELANGANA","J0230-SKD-XL","20","24578.00","20","1228.90"
"TAMIL NADU","JNE3797-KR-XS","33","24575.00","33","744.70"
"UTTAR PRADESH","J0003-SET-M","37","24500.00","36","680.56"
"UTTAR PRADESH","J0230-SKD-XXL","21","24453.00","21","1164.43"
"TELANGANA","J0341-DR-M","29","24390.00","29","841.03"
"MAHARASHTRA","J0003-SET-XXL","36","24106.00","36","669.61"
"MAHARASHTRA","J0339-DR-XXL","28","24028.00","27","889.93"
"MAHARASHTRA","J0003-SET-M","36","23993.00","36","666.47"
"MAHARASHTRA","J0119-TP-XXL","39","23782.00","37","642.76"
"KERALA","JNE3797-KR-XXXL","32","23650.00","32","739.06"
"KARNATAKA","SET324-KR-NP-L","38","23216.00","38","610.95"
"TAMIL NADU","J0341-DR-L","28","23048.00","28","823.14"
"MAHARASHTRA","J0339-DR-L","28","23033.00","28","822.61"
"TELANGANA","JNE3797-KR-XXL","31","22971.00","31","741.00"
"KARNATAKA","J0003-SET-XS","34","22813.00","34","670.97"
"TAMIL NADU","SET268-KR-NP-XL","29","22492.00","29","775.59"
"GUJARAT","JNE3797-KR-L","30","22442.00","30","748.07"
"KARNATAKA","SET268-KR-NP-XXXL","29","22402.00","29","772.48"
"MAHARASHTRA","SET268-KR-NP-XS","29","22402.00","28","800.07"
"TELANGANA","JNE3797-KR-XS","30","22313.00","30","743.77"
"UTTAR PRADESH","SET397-KR-NP  -M","20","22062.00","20","1103.10"
"MAHARASHTRA","J0003-SET-XL","32","22029.00","32","688.41"
"TELANGANA","J0341-DR-XXL","25","21904.00","25","876.16"
"KARNATAKA","J0008-SKD-S","20","21892.00","20","1094.60"
"UTTAR PRADESH","SET278-KR-NP-M","15","21661.00","15","1444.07"
"MAHARASHTRA","SET324-KR-NP-L","35","21427.00","35","612.20"
"KARNATAKA","JNE3405-KR-L","52","21270.00","52","409.04"
"TAMIL NADU","JNE3797-KR-XL","28","21136.00","28","754.86"
"BIHAR","J0230-SKD-S","19","21074.00","19","1109.16"
"MAHARASHTRA","J0008-SKD-XS","19","21063.00","19","1108.58"
"KARNATAKA","SET264-KR-NP-XL","26","21044.00","26","809.38"
"MAHARASHTRA","SET268-KR-NP-XXXL","27","21006.00","27","778.00"
"TELANGANA","SET268-KR-NP-S","27","21006.00","27","778.00"
"MAHARASHTRA","SET345-KR-NP-XL","33","20905.00","33","633.48"
