"ship_state","total_orders","cancelled_orders","pct_cancelled"
"APO","1","1","100.00"
"Meghalaya","3","3","100.00"
"Rajshthan","3","1","33.33"
"Arunachal Pradesh","3","1","33.33"
"Odisha","21","6","28.57"
"LAKSHADWEEP","4","1","25.00"
"MIZORAM","75","18","24.00"
"ANDAMAN & NICOBAR ","257","56","21.79"
"HIMACHAL PRADESH","788","162","20.56"
"JAMMU & KASHMIR","702","139","19.80"
"BIHAR","2086","401","19.22"
"KERALA","6585","1258","19.10"
"JHARKHAND","1456","278","19.09"
"ASSAM","1663","316","19.00"
"ODISHA","2115","396","18.72"
"LADAKH","43","8","18.60"
"DADRA AND NAGAR","70","13","18.57"
"SIKKIM","202","37","18.32"
"ANDHRA PRADESH","5430","988","18.20"
"Chandigarh","11","2","18.18"
"UTTARAKHAND","1553","272","17.51"
"NAGALAND","184","32","17.39"
"UTTAR PRADESH","10638","1846","17.35"
"TRIPURA","151","26","17.22"
"WEST BENGAL","5963","1008","16.90"
"MADHYA PRADESH","2529","427","16.88"
"MEGHALAYA","204","34","16.67"
"ARUNACHAL PRADESH","141","23","16.31"
"RAJASTHAN","2650","426","16.08"
"PUDUCHERRY","349","56","16.05"
"New Delhi","81","13","16.05"
"TELANGANA","11330","1800","15.89"
"CHHATTISGARH","909","143","15.73"
"TAMIL NADU","11483","1751","15.25"
"PUNJAB","1869","277","14.82"
"Bihar","27","4","14.81"
"DELHI","6782","993","14.64"
"MAHARASHTRA","22260","3232","14.52"
"Gujarat","4489","644","14.35"
"delhi","21","3","14.29"
"HARYANA","4415","626","14.18"
"KARNATAKA","17326","2451","14.15"
"CHANDIGARH","322","42","13.04"
"MANIPUR","311","39","12.54"
"GOA","1102","138","12.52"
"Punjab","34","4","11.76"
"Delhi","164","19","11.59"
"punjab","14","1","7.14"
"Goa","30","2","6.67"
"Rajasthan","55","3","5.45"
"Orissa","2","0","0.00"
"orissa","1","0","0.00"
"Punjab/Mohali/Zirakpur","1","0","0.00"
"rajasthan","6","0","0.00"
"NL","2","0","0.00"
"Nagaland","1","0","0.00"
"rajsthan","1","0","0.00"
"Rajsthan","1","0","0.00"
"RJ","2","0","0.00"
"Sikkim","3","0","0.00"
"Mizoram","1","0","0.00"
"Manipur","5","0","0.00"
"goa","5","0","0.00"
"bihar","1","0","0.00"
"Arunachal pradesh","2","0","0.00"
"AR","1","0","0.00"
"Pondicherry","1","0","0.00"
NULL,"33","0","0.00"
"Puducherry","1","0","0.00"
"PB","1","0","0.00"
