ship_state,total_revenue,total_orders,pct_of_total_revenue
maharashtra,13057892.19,21786,16.95
karnataka,10070373.99,16650,13.08
uttar_pradesh,6736403.84,10484,8.75
telangana,6653694.04,10900,8.64
tamil_nadu,6563135.62,11553,8.52
delhi,4270631.48,6845,5.54
kerala,3791206.64,6500,4.92
west_bengal,3462444.61,5865,4.5
andhra_pradesh,3192221.46,5359,4.14
haryana,2859667.12,4377,3.71
gujarat,2709392.0,4455,3.52
rajasthan,1748541.23,2693,2.27
madhya_pradesh,1585911.74,2508,2.06
punjab,1413108.08,2237,1.83
bihar,1399681.83,2089,1.82
odisha,1372043.02,2114,1.78
assam,1010238.2,1646,1.31
uttarakhand,970989.6,1544,1.26
jharkhand,910488.06,1443,1.18
goa,633027.09,1127,0.82
chhattisgarh,568856.83,906,0.74
himachal_pradesh,499309.42,779,0.65
jammu_&_kashmir,491496.31,737,0.64
manipur,212986.99,315,0.28
andaman_&_nicobar,157441.62,256,0.2
nagaland,144198.67,186,0.19
sikkim,140828.66,205,0.18
meghalaya,119136.81,206,0.15
arunachal_pradesh,98265.0,147,0.13
tripura,90591.26,148,0.12
dadra_and_nagar,42138.92,70,0.05
mizoram,40451.57,74,0.05
lakshadweep,3175.29,4,0.0
